"Ver 
17.9",Unnamed: 1,Unnamed: 2,Unnamed: 3,早朝番_6_A,Unnamed: 5,Unnamed: 6,早朝番_6_B,Unnamed: 8,Unnamed: 9,早朝番_6_C,Unnamed: 11,Unnamed: 12,早朝番_6_D,Unnamed: 14,Unnamed: 15,早番_8_A,Unnamed: 17,Unnamed: 18,早番_8_B,Unnamed: 20,Unnamed: 21,早番_8_C,Unnamed: 23,Unnamed: 24,早番_8_D,Unnamed: 26,Unnamed: 27,早番_8_E,Unnamed: 29,Unnamed: 30,早番_8_α,Unnamed: 32,Unnamed: 33,早番_8_β,Unnamed: 35,Unnamed: 36,早番_8_●,Unnamed: 38,Unnamed: 39,遅番_13_A,Unnamed: 41,Unnamed: 42,遅番_13_B,Unnamed: 44,Unnamed: 45,遅番_13_C,Unnamed: 47,Unnamed: 48,遅番_13_D,Unnamed: 50,Unnamed: 51,遅番_13_E,Unnamed: 53,Unnamed: 54,遅番_13_F,Unnamed: 56,Unnamed: 57,遅番_13_G,Unnamed: 59,Unnamed: 60,遅番_13_H,Unnamed: 62,Unnamed: 63,遅番_13_I,Unnamed: 65,Unnamed: 66,遅番_13_J,Unnamed: 68,Unnamed: 69,遅番_13_K,Unnamed: 71,Unnamed: 72,遅番_13_L,Unnamed: 74,Unnamed: 75,遅番_13_M,Unnamed: 77,Unnamed: 78,遅番_13_●,Unnamed: 80,Unnamed: 81,遅番_13_α,Unnamed: 83,Unnamed: 84,遅番_13_β,Unnamed: 86,Unnamed: 87,深夜番_14_A,Unnamed: 89,"Time
(m)",Unnamed: 91,遅番_13_O,Unnamed: 93,Unnamed: 94,深夜番_14_B,Unnamed: 96,Unnamed: 97,深夜番_14_C
,,13H,,,,,,,,,,,,,,MCJ8,,,DTK4/OTK5/PTKH,,,DEJ5,,,,,,,,,,,,,,,,,,,,,,,,"DEJ7/OEJM,Y/PTKW",,,"DEJ7/OEJM,Y/PTKW・・・Chime挨拶/Chime Check",,,"DEJ2/OEJ4,9/OEJS・・・Chime挨拶/Chime Check",,,"DEJ2/OEJ4,9/OEJS",,,DFK4,,,DFK4・・・Chime挨拶/Chime Check,,,MEJ8,,,MEJ8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13I,,,,,,,,,,,,,,MCJ9,,,DTK6/OTKY/OTK7/PTK1/PTK2/PTK3/PTK4/PTK9/PTKE/PTKX,,,DEJ6/PTK5,,,,,,,,,,,,,,,,,,,,,,,,"DEJ8/PEJ1,2,3,4,5",,,"DEJ8/PEJ1,2,3,4,5・・・Chime挨拶/Chime Check",,,DEJ3/OEJE・・・Chime挨拶/Chime Check,,,DEJ3/OEJE,,,"DTK6/OTK7/OTKY/PTK1,2,3,4,9/PTKE,X",,,"DTK6/OTK7/OTKY/PTK1,2,3,4,9/PTKE,X・・・Chime挨拶/Chime Check",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13J,,,,,,,,,,,,,,MEJ1,,,DTK7,,,DFK1,,,,,,,,,,,,,,,,,,,,,,,,"DEJ9/OEJW,T,X,U",,,"DEJ9/OEJW,T,X,U・・・Chime挨拶/Chime Check",,,DEJ4/PEJ8/PTK7・・・Chime挨拶/Chime Check,,,DEJ4/PEJ8/PTK7,,,DTK7,,,DTK7・・・Chime挨拶/Chime Check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13K,,,,,,,,,,,,,,MEJ8,,,DOO2/OOOD/OOOL,,,DFK2/OFK3/OFK4/OFK5/OFK6/OFK7,,,,,,,,,,,,,,,,,,,,,,,,"DFK5/OFK8,9",,,"DFK5/OFK8,9・・・Chime挨拶/Chime Check",,,DEJ5・・・Chime挨拶/Chime Check,,,DEJ5,,,DTK8/PEJ6,,,DTK8/PEJ6・・・Chime挨拶/Chime Check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13L,,,,,,,,,,,,,,MFK1,,,DOO3/OOOS/OOOM,,,DKJ4/PEJ7/PEJA,,,,,,,,,,,,,,,,,,,,,,,,DKJ3,,,DKJ3・・Chime挨拶/Chime Check,,,DKJ1,,,DKJ1・・・Chime挨拶/Chime Check,,,"DHR1/OHR4,5,6,7",,,"DHR1/OHR4,6,7・・・Chime挨拶/Chime Check",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14A,,,,,,,,,,,,,,MFK2,,,DWJ1/OWJJ/OWJH/OWJL,,,DKJ1,,,,,,,,,,,,,,,,,,,,,,,,DFK3,,,DFK3・・Chime挨拶/Chime Check,,,"DKJ4/PEJ7,A",,,"DKJ4/PEJ7,A・・・Chime挨拶/Chime Check",,,"DHR2/OHR5,D,9,C",,,"DHR2/OHR5,D,9,C・・・Chime挨拶/Chime Check",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14B,,,,,,,,,,,,,,MFK3,,,DWJ3/OOO7/OOO8/OOO9/OWJB/OWJM,,,DKJ5/PEJD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DKJ5/PEJD,,,DKJ5/PEJD・・・Chime挨拶/Chime Check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14C,,,,,,,,,,,,,,MKG1,,,DOW2/OOW1/OOW3,,,DWJ4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DTK1/PTKJ,PTKM",,,"DTK1/PTKJ,M・・・Chime挨拶/Chime Check",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,MKG2,,,DHK1/OHK1/OHK2,,,DCJ3/OCJ9/PCJ1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTK3/OTKO/PTK8,,,DTK3/OTKO/PTK8・・・Chime挨拶/Chime Check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,タスクスケジューラ,,,「D-0 Volume Readjustment Request」 SIM _Check/対応,,,「D-0 Volume Readjustment Request」 SIM _Check/対応,,,,,,MKG3,,,DCJ1/OCJ1/OCJ2/OCJ3/OCJ4/OWJO,,,DCJ4/OCJ6/OCJ7/ONG6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTK4/OTK5/PTKH,,,DTK4/OTK5/PTKH・・・Chime挨拶/Chime Check,,,,,,,,,MiniDS　Chime挨拶/Chime Check/Shinka　Chime Check Block Open,,,MiniDS /Shinka　Chime Check Block Open,,,Chime挨拶/Chime　Check/架電レスキュー/RPサポート（MC/ドッキング)/各Routine,,,Chime　Check/RPサポート（MC/ドッキング),,,Chime　Check/RPサポート（MC/ドッキング),,,,,,,,,,,,タスクスケジューラ,,,,,,,「D-0 Volume Readjustment Request」 SIM _Check/対応,,,「D-0 Volume Readjustment Request」 SIM _Check/対応
,,,,D-0 Volume input & Block Open/Close,,,D-0 Volume input & Block Open/Close,,,「D-0 Stop Request」SIM _Check/コメント・進捗管理シート更新,,,D-0 Volume input & Block Open/Close　6:00～8:00,,,MKG4,,,DFK4,,,DCJ5/OCJ8/PCJ3,,,,,,,,,休憩ルール,,,休憩ルール,,,,,,,,,,,,,,,,,,DTK5/OEJH/OTKS,,,DTK5/OEJH/OTKS・・・Chime挨拶/Chime Check,,,,,,,,,,,,,,,,,,,,,,,,,,,休憩ルール,,,休憩ルール,,,D-0 Volume input & Block Open/Close,,,,,,,D-0 Volume input & Block Open/Close,,,「D-0 Stop Request」SIM _Check/コメント・進捗管理シート更新
,,,,「D-0 Volume Readjustment Request」 SIM _Check/対応,,,「D-0 Stop Request」SIM _Check/コメント・進捗管理シート更新,,,Ops Clock超過後のSIM起票催促対応,,,,,,MMG1,,,DFK5,,,DHR1/OHR4/OHR6/OHR7,,,,,,,,,αとβ　休憩が被らないように調整,,,αとβ　休憩が被らないように調整,,,,,,,,,,,,,,,,,,DMG1/OMG2/OMG6,,,DMG1/OMG2/OMG6・・・Chime挨拶/Chime Check,,,,,,,,,,,,,,,,,,,,,,,,,,,αとβ　休憩が被らないように調整,,,αとβ　休憩が被らないように調整,,,「D-0 Volume Readjustment Request」 SIM _Check/対応,,,,,,,「D-0 Stop Request」SIM _Check/コメント・進捗管理シート更新,,,Ops Clock超過後のSIM起票催促対応
,,,,「D-0 Stop Request」SIM _Check/コメント・進捗管理シート更新,,,Ops Clock超過後のSIM起票催促対応,,,・休憩時間は目安です。Ops ピーク中はサポート最優先でお願いします。,,,,,,MMG2,,,DMG3/OMG3/OMG4,,,DHR2/OHR5/OHRD/OHR9/OHRC,,,,,,,,,ピーク時間は割ける,,,ピーク時間は割ける,,,,,,,,,,,,,,,,,,DMG3/OMG3/OMG4,,,DMG3/OMG3/OMG4・・・Chime挨拶/Chime Check,,,,,,,,,,,,,,,,,,,,,,,,,,,ピーク時間は割ける,,,ピーク時間は割ける,,,「D-0 Stop Request」SIM _Check/コメント・進捗管理シート更新,,,,,,,Ops Clock超過後のSIM起票催促対応,,,・休憩時間は目安です。Ops ピーク中はサポート最優先でお願いします。
,,,,Ops Clock超過後のSIM起票催促対応,,,D-0 Process_進捗管理SIM更新【15分毎】（6:15～14:15分）,,,,,,,,,MMG3,,,DKJ3,,,DMG1/OMG2/OMG6,,,,,,,,,,,,NHのRoutineに合わせる,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NHのRoutineに合わせる,,,Ops Clock超過後のSIM起票催促対応,,,,,,,D-0 Process_進捗管理SIM更新【15分毎】14:15～22:45,,,
,,,,,,,,,,,,,,,,MMG4,,,DFK3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,VIT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,VSJ1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,VKI1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6:00までに指定のChime Roomに入室,,,6:00までに指定のChime Roomに入室,,,6:00までに指定のChime Roomに入室,,,6:00までに指定のChime Roomに入室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,06:00:00,,,,,,,,＜ 早朝番メンバー出欠確認 ＞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,06:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,06:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,06:15:00,,タスクスケジューラON（6:15~14:15）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,06:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,”,,CLUE情報キャッチ/SUP_Board ステータス更新,,,CLUE情報キャッチ/SUP_Board ステータス更新,,,CLUE情報キャッチ/SUP_Board ステータス更新,,,CLUE情報キャッチ/SUP_Board ステータス更新,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,06:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,06:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,06:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,06:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,06:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,06:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,06:55:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,07:00:00,,D-0 Volume input & Block Open/Close,,,D-0 Volume input & Block Open/Close,,,,,,D-0 Volume input & Block Open/Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,”,,未起票DSへ起票確認,,,未起票DSへ起票確認,,,,,,未起票DSへ起票確認,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,07:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,07:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,07:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,07:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,07:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,07:30:00,,D-0 Volume input & Block Open/Close,,,D-0 Volume input & Block Open/Close,,,,,,D-0 Volume input & Block Open/Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,”,,未起票DSへ起票確認,,,未起票DSへ起票確認,,,,,,未起票DSへ起票確認,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
